state,handgun,long_gun,multiple,total,pop_2016,female_pct,white_pct,black_pct,asian_pct,pe_hh,pe_whi,adults_below_65,high_school_grad_higher,bsc_higher,median_hu,median_gross_rent,poverty_pct,median_hh_income,per_cap_inc,firms
New York,146613.5,217437.0,4932,368982.5,19745289.0,51.4,69.89999999999999,17.7,8.9,2.63,7.000000000000001,99.634,85.6,34.2,283400.0,1132.0,14.7,59269.0,33236.0,2008988.0
North Carolina,18254.5,194610.90000000002,5624,218489.40000000002,10146788.0,51.4,71.0,22.2,2.9000000000000004,2.54,12.2,99.618,85.8,28.4,154900.0,797.0,15.4,46868.0,25920.0,805985.0
North Dakota,21972.5,37414.3,1944,61330.8,757952.0,48.7,87.9,2.9000000000000004,1.5,2.32,8.1,99.622,91.7,27.700000000000003,153800.0,709.0,10.7,57181.0,32035.0,68270.0
Ohio,434027.0,268359.3,32666,735052.3,11614373.0,51.0,82.5,12.8,2.2,2.46,6.6000000000000005,99.613,89.1,26.1,129900.0,730.0,14.6,49429.0,26953.0,904814.0
Oklahoma,182799.1,143565.4,21322,347686.5,3923561.0,50.5,74.6,7.8,2.2,2.57,16.1,99.605,86.9,24.1,117900.0,727.0,16.3,46879.0,25032.0,327229.0
Oregon,196587.6,157331.9,0,353919.5,4093465.0,50.5,87.4,2.1,4.5,2.51,7.3,99.62,89.8,30.8,237300.0,907.0,13.3,51243.0,27684.0,339305.0
Pennsylvania,706455.2000000001,173955.1,0,880410.3,12784227.0,51.0,82.39999999999999,11.8,3.5000000000000004,2.49,6.7,99.617,89.2,28.6,166000.0,840.0,12.9,53599.0,29291.0,975453.0
Rhode Island,15688.2,11224.4,3998,30910.600000000002,1056426.0,51.4,84.39999999999999,8.1,3.6,2.46,5.1,99.638,86.2,31.9,238000.0,925.0,12.8,56852.0,31118.0,94642.0
South Carolina,145720.30000000002,96154.3,8980,250854.6,4961119.0,51.5,68.5,27.500000000000004,1.6,2.56,11.9,99.612,85.6,25.8,139900.0,790.0,15.3,45483.0,24604.0,367726.0
South Dakota,40172.0,54474.200000000004,4368,99014.20000000001,865454.0,49.6,85.2,2.0,1.5,2.45,10.3,99.594,90.9,27.0,140500.0,655.0,13.3,50957.0,26747.0,81314.0
Tennessee,351085.9,231177.1,22184,604447.0,6651194.0,51.2,78.7,17.1,1.7999999999999998,2.53,10.6,99.617,85.5,24.9,142100.0,764.0,15.8,45219.0,25227.0,550453.0
Texas,701223.6000000001,529769.9,66204,1297197.5,27862596.0,50.4,79.4,12.6,4.8,2.84,18.6,61.8,81.9,27.6,136000.0,882.0,15.6,53207.0,26999.0,2356748.0
Utah,52141.100000000006,59546.3,2382,114069.40000000001,3051217.0,49.7,91.1,1.4,2.5,3.15,9.7,59.3,91.2,31.1,215900.0,887.0,10.2,60727.0,24686.0,251419.0
Vermont,20152.0,20738.3,1770,42660.3,624594.0,50.6,94.6,1.3,1.8,2.34,4.5,62.9,91.8,36.0,217500.0,895.0,11.9,55176.0,29894.0,75827.0
Virginia,325559.30000000005,230972.5,0,556531.8,8411808.0,50.8,70.0,19.8,6.6,2.62,10.1,63.2,88.3,36.3,245000.0,1116.0,11.0,65015.0,34152.0,653193.0
Washington,235516.6,166131.9,16056,417704.5,7288000.0,50.0,80.0,4.1,8.6,2.56,6.9,62.8,90.4,32.9,259500.0,1014.0,11.3,61062.0,31762.0,541522.0
West Virginia,101336.40000000001,89215.5,10566,201117.90000000002,1831102.0,50.5,93.6,3.6,0.8,2.43,6.5,60.7,85.0,19.2,103800.0,643.0,17.9,41751.0,23450.0,114435.0
Wisconsin,204930.0,175762.4,1046,381738.4,5778708.0,50.3,87.5,6.6,2.8,2.43,6.2,61.6,91.0,27.8,165800.0,776.0,11.8,53357.0,28340.0,432980.0
Wyoming,24825.9,28396.500000000004,2590,55812.4,585501.0,48.9,92.8,1.3,1.0,2.49,13.4,61.3,92.3,25.7,194800.0,789.0,11.3,58840.0,29803.0,62427.0
