,state,handgun,long_gun,multiple,month
114,California,16776.100000000002,17505.4,732,10
115,Colorado,7065.3,12447.6,894,10
116,Connecticut,2594.9,2780.8,108,10
117,Delaware,531.3000000000001,1185.8000000000002,48,10
118,District of Columbia,2.2,0.0,0,10
119,Florida,19767.0,17536.2,1478,10
120,Georgia,6587.900000000001,13680.7,558,10
121,Guam,11.0,19.8,0,10
122,Hawaii,0.0,0.0,0,10
123,Idaho,1639.0000000000002,5541.8,226,10
124,Illinois,5855.3,10705.2,556,10
125,Indiana,6017.000000000001,10960.400000000001,628,10
126,Iowa,26.400000000000002,6263.400000000001,6,10
127,Kansas,3526.6000000000004,7245.700000000001,494,10
128,Kentucky,6424.000000000001,13410.1,830,10
129,Louisiana,6413.000000000001,14373.7,570,10
130,Maine,1465.2,6485.6,198,10
131,Mariana Islands,0.0,4.4,0,10
132,Maryland,1237.5,5720.000000000001,12,10
133,Massachusetts,1862.3000000000002,1859.0000000000002,110,10
134,Michigan,2238.5,19549.2,150,10
135,Minnesota,3663.0000000000005,21450.0,302,10
136,Mississippi,3550.8,10672.2,428,10
137,Missouri,4423.1,17873.9,364,10
138,Montana,1615.9,6850.8,300,10
139,Nebraska,1.1,3956.7000000000003,2,10
140,Nevada,2523.4,2620.2000000000003,262,10
141,New Hampshire,1665.4,3560.7000000000003,38,10
142,New Jersey,1450.9,2129.6000000000004,124,10
143,New Mexico,2752.2000000000003,4133.8,234,10
144,New York,3565.1000000000004,17136.9,128,10
145,North Carolina,243.10000000000002,15395.6,186,10
146,North Dakota,507.1,4811.400000000001,50,10
147,Ohio,10433.5,17451.5,920,10
148,Oklahoma,5283.3,10132.1,798,10
149,Oregon,4698.1,9023.300000000001,580,10
150,Pennsylvania,0.0,54148.600000000006,170,10
151,Puerto Rico,708.4000000000001,140.8,36,10
152,Rhode Island,377.3,466.40000000000003,184,10
153,South Carolina,3868.7000000000003,6900.3,262,10
154,South Dakota,715.0000000000001,6680.3,66,10
155,Tennessee,8695.5,12861.2,744,10
156,Texas,18086.2,37578.200000000004,2288,10
157,Utah,1984.4,5913.6,192,10
158,Vermont,609.4000000000001,1922.8000000000002,48,10
159,Virgin Islands,35.2,2.2,0,10
160,Virginia,8179.6,13680.7,494,10
161,Washington,6634.1,10560.0,530,10
162,West Virginia,2825.9,9164.1,392,10
163,Wisconsin,4343.900000000001,19905.600000000002,8,10
164,Wyoming,899.8000000000001,2574.0,112,10
165,Alabama,6882.700000000001,11392.7,644,9
166,Alaska,1300.2,2600.4,170,9
167,Arizona,7007.000000000001,7548.200000000001,570,9
168,Arkansas,3127.3,9067.300000000001,492,9
169,California,14776.300000000001,17770.5,6704,9
170,Colorado,6948.700000000001,11905.300000000001,876,9
171,Connecticut,2054.8,2214.3,84,9
172,Delaware,474.1,1005.4000000000001,24,9
173,District of Columbia,1.1,0.0,0,9
