,state,pop_2016,female_pct,white_pct,black_pct,asian_pct,pe_hh,pe_whi,adults_below_65,high_school_grad_higher,bsc_higher,median_hu,median_gross_rent,poverty_pct,median_hh_income,per_cap_inc,firms
20,Massachusetts,6811779.0,51.5,81.8,8.6,6.7,2.53,2.9,64.0,89.8,40.5,333100.0,1102.0,10.4,68563.0,36895.0,607664.0
21,Michigan,9928300.0,50.8,79.6,14.2,3.1,2.52,6.3,61.7,89.6,26.9,122400.0,783.0,15.0,49576.0,26607.0,834087.0
22,Minnesota,5519952.0,50.2,85.0,6.2,4.9,2.49,4.8,61.6,92.4,33.7,186200.0,848.0,9.9,61492.0,32157.0,489494.0
23,Mississippi,2988726.0,51.5,59.3,37.7,1.1,2.64,13.9,60.8,82.3,20.7,103100.0,717.0,20.8,39665.0,21057.0,235454.0
24,Missouri,6093000.0,50.9,83.2,11.8,2.0,2.48,10.5,61.099999999999994,88.4,27.1,138400.0,746.0,14.0,48173.0,26259.0,491606.0
25,Montana,1042520.0,49.7,89.2,0.6,0.8,2.41,9.8,60.5,92.8,29.5,193500.0,711.0,13.3,47169.0,26381.0,112419.0
26,Nebraska,1907116.0,50.2,88.9,5.0,2.5,2.47,9.9,60.2,90.7,29.3,133200.0,726.0,11.4,52997.0,27882.0,164089.0
27,Nevada,2940058.0,49.9,75.1,9.6,8.7,2.72,13.1,62.0,85.1,23.0,173700.0,973.0,13.8,51847.0,26541.0,227156.0
28,New Hampshire,1334795.0,50.5,93.8,1.5,2.7,2.47,7.1,63.5,92.3,34.9,237300.0,1000.0,7.3,66779.0,34362.0,131638.0
29,New Jersey,8944469.0,51.2,72.4,15.0,9.8,2.73,9.2,62.5,88.6,36.8,315900.0,1192.0,10.4,72093.0,36582.0,792088.0
30,New Mexico,2081015.0,0.505,0.826,0.025,0.017,2.67,0.108,99.599,0.842,0.263,160300.0,777.0,0.198,44963.0,24012.0,151363.0
31,New York,19745289.0,0.514,0.699,0.177,0.089,2.63,0.07,99.634,0.856,0.342,283400.0,1132.0,0.147,59269.0,33236.0,2008988.0
32,North Carolina,10146788.0,0.514,0.71,0.222,0.029,2.54,0.122,99.618,0.858,0.284,154900.0,797.0,0.154,46868.0,25920.0,805985.0
33,North Dakota,757952.0,0.487,0.879,0.029,0.015,2.32,0.081,99.622,0.917,0.277,153800.0,709.0,0.107,57181.0,32035.0,68270.0
34,Ohio,11614373.0,0.51,0.825,0.128,0.022,2.46,0.066,99.613,0.891,0.261,129900.0,730.0,0.146,49429.0,26953.0,904814.0
35,Oklahoma,3923561.0,0.505,0.746,0.078,0.022,2.57,0.161,99.605,0.869,0.241,117900.0,727.0,0.163,46879.0,25032.0,327229.0
36,Oregon,4093465.0,0.505,0.874,0.021,0.045,2.51,0.073,99.62,0.898,0.308,237300.0,907.0,0.133,51243.0,27684.0,339305.0
37,Pennsylvania,12784227.0,0.51,0.824,0.118,0.035,2.49,0.067,99.617,0.892,0.286,166000.0,840.0,0.129,53599.0,29291.0,975453.0
38,Rhode Island,1056426.0,0.514,0.844,0.081,0.036,2.46,0.051,99.638,0.862,0.319,238000.0,925.0,0.128,56852.0,31118.0,94642.0
39,South Carolina,4961119.0,0.515,0.685,0.275,0.016,2.56,0.119,99.612,0.856,0.258,139900.0,790.0,0.153,45483.0,24604.0,367726.0
40,South Dakota,865454.0,0.496,0.852,0.02,0.015,2.45,0.103,99.594,0.909,0.27,140500.0,655.0,0.133,50957.0,26747.0,81314.0
41,Tennessee,6651194.0,0.512,0.787,0.171,0.018,2.53,0.106,99.617,0.855,0.249,142100.0,764.0,0.158,45219.0,25227.0,550453.0
42,Texas,27862596.0,50.4,79.4,12.6,4.8,2.84,18.6,61.8,81.9,27.6,136000.0,882.0,15.6,53207.0,26999.0,2356748.0
43,Utah,3051217.0,49.7,91.1,1.4,2.5,3.15,9.7,59.3,91.2,31.1,215900.0,887.0,10.2,60727.0,24686.0,251419.0
44,Vermont,624594.0,50.6,94.6,1.3,1.8,2.34,4.5,62.9,91.8,36.0,217500.0,895.0,11.9,55176.0,29894.0,75827.0
45,Virginia,8411808.0,50.8,70.0,19.8,6.6,2.62,10.1,63.2,88.3,36.3,245000.0,1116.0,11.0,65015.0,34152.0,653193.0
46,Washington,7288000.0,50.0,80.0,4.1,8.6,2.56,6.9,62.8,90.4,32.9,259500.0,1014.0,11.3,61062.0,31762.0,541522.0
47,West Virginia,1831102.0,50.5,93.6,3.6,0.8,2.43,6.5,60.7,85.0,19.2,103800.0,643.0,17.9,41751.0,23450.0,114435.0
48,Wisconsin,5778708.0,50.3,87.5,6.6,2.8,2.43,6.2,61.599999999999994,91.0,27.8,165800.0,776.0,11.8,53357.0,28340.0,432980.0
49,Wyoming,585501.0,48.9,92.8,1.3,1.0,2.49,13.4,61.3,92.3,25.7,194800.0,789.0,11.3,58840.0,29803.0,62427.0
