,state,handgun,long_gun,multiple,month
0,Alabama,15106.300000000001,19270.9,1066,12
1,Alaska,4495.700000000001,4067.8,382,12
2,Arizona,19826.4,15163.500000000002,1406,12
3,Arkansas,10111.2,14776.300000000001,770,12
4,California,70013.90000000001,102546.40000000001,0,12
5,Colorado,28495.500000000004,23247.4,2852,12
6,Connecticut,8803.300000000001,3468.3,0,12
7,Delaware,2957.9,3279.1000000000004,234,12
8,District of Columbia,66.0,5.5,4,12
9,Florida,76826.20000000001,43868.0,5190,12
10,Georgia,26262.500000000004,24874.300000000003,1688,12
11,Guam,115.50000000000001,56.1,16,12
12,Hawaii,0.0,0.0,0,12
13,Idaho,6018.1,7781.400000000001,420,12
14,Illinois,32623.800000000003,18880.4,2062,12
15,Indiana,33272.8,23856.800000000003,1822,12
16,Iowa,430.1,5304.200000000001,6,12
17,Kansas,9343.400000000001,11520.300000000001,830,12
18,Kentucky,19042.100000000002,18442.600000000002,1346,12
19,Louisiana,20253.2,25132.800000000003,1802,12
20,Maine,5105.1,5184.3,374,12
21,Mariana Islands,0.0,0.0,0,12
22,Maryland,5417.5,9757.0,66,12
23,Massachusetts,7755.000000000001,4272.400000000001,394,12
24,Michigan,16366.900000000001,15760.800000000001,490,12
25,Minnesota,13674.1,14136.1,852,12
26,Mississippi,14484.800000000001,18954.100000000002,1058,12
27,Missouri,32747.000000000004,29714.300000000003,2468,12
28,Montana,4204.200000000001,6415.200000000001,440,12
29,Nebraska,294.8,4066.7000000000003,12,12
30,Nevada,7461.3,5165.6,822,12
31,New Hampshire,7287.500000000001,4647.5,2,12
32,New Jersey,5933.400000000001,5476.900000000001,0,12
33,New Mexico,8232.400000000001,7863.900000000001,662,12
34,New York,13281.400000000001,24843.500000000004,496,12
35,North Carolina,2379.3,30825.300000000003,570,12
36,North Dakota,1978.9,3219.7000000000003,162,12
37,Ohio,45095.600000000006,32605.100000000002,3062,12
38,Oklahoma,19789.0,21359.800000000003,2120,12
39,Oregon,20824.100000000002,17611.0,0,12
40,Pennsylvania,70642.0,20556.800000000003,0,12
41,Puerto Rico,1467.4,281.6,56,12
42,Rhode Island,1411.3000000000002,1048.3000000000002,420,12
43,South Carolina,17160.0,16260.2,850,12
44,South Dakota,3877.5000000000005,5644.1,440,12
45,Tennessee,40608.700000000004,34096.700000000004,0,12
46,Texas,76079.3,76199.20000000001,6416,12
47,Utah,7070.8,10182.7,0,12
48,Vermont,1982.2000000000003,2197.8,148,12
49,Virgin Islands,16.5,5.5,0,12
50,Virginia,35829.200000000004,30380.9,0,12
51,Washington,24018.500000000004,18132.4,1412,12
52,West Virginia,11955.900000000001,12790.800000000001,1086,12
53,Wisconsin,18173.100000000002,16539.600000000002,74,12
54,Wyoming,2794.0,3282.4,238,12
55,Alabama,11235.400000000001,14817.000000000002,1198,11
56,Alaska,3735.6000000000004,4420.900000000001,498,11
57,Arizona,16335.000000000002,13193.400000000001,1658,11
58,Arkansas,7948.6,13052.6,898,11
59,California,62625.200000000004,90809.40000000001,0,11
60,Colorado,26457.2,21773.4,3106,11
61,Connecticut,7769.3,3583.8,0,11
62,Delaware,2739.0,3026.1000000000004,212,11
63,District of Columbia,53.900000000000006,5.5,2,11
64,Florida,68586.1,39289.8,5402,11
65,Georgia,19812.100000000002,18434.9,1606,11
66,Guam,114.4,59.400000000000006,8,11
67,Hawaii,0.0,0.0,0,11
68,Idaho,5182.1,6792.500000000001,464,11
69,Illinois,31309.300000000003,20905.5,2412,11
70,Indiana,27770.600000000002,25669.600000000002,1824,11
71,Iowa,438.90000000000003,5623.200000000001,26,11
72,Kansas,8949.6,10839.400000000001,986,11
73,Kentucky,14131.7,16328.400000000001,1280,11
74,Louisiana,16141.400000000001,20183.9,1700,11
75,Maine,4548.5,5606.700000000001,392,11
76,Mariana Islands,0.0,4.4,0,11
77,Maryland,5891.6,10459.900000000001,76,11
78,Massachusetts,7828.700000000001,5261.3,394,11
79,Michigan,17383.300000000003,20065.100000000002,666,11
80,Minnesota,13571.800000000001,17156.7,888,11
81,Mississippi,10320.2,14829.1,1056,11
82,Missouri,26090.9,28971.800000000003,2594,11
83,Montana,3402.3,6100.6,462,11
84,Nebraska,237.60000000000002,4056.8,24,11
85,Nevada,6971.8,4720.1,872,11
86,New Hampshire,6911.3,5304.200000000001,8,11
87,New Jersey,5937.8,6292.000000000001,0,11
88,New Mexico,6768.3,6637.400000000001,712,11
89,New York,12272.7,27751.9,496,11
90,North Carolina,1879.9,25536.500000000004,524,11
91,North Dakota,2009.7000000000003,3900.6000000000004,196,11
92,Ohio,41034.4,35543.200000000004,3388,11
93,Oklahoma,17982.800000000003,18720.9,2176,11
94,Oregon,18714.300000000003,17282.100000000002,0,11
95,Pennsylvania,72806.8,22535.7,0,11
96,Puerto Rico,1455.3000000000002,224.4,68,11
97,Rhode Island,1398.1000000000001,1171.5,402,11
98,South Carolina,14122.900000000001,12701.7,1116,11
99,South Dakota,3801.6000000000004,6244.700000000001,418,11
100,Tennessee,32452.200000000004,28573.600000000002,0,11
101,Texas,64655.8,61662.700000000004,7520,11
102,Utah,5755.200000000001,7723.1,0,11
103,Vermont,1476.2,2172.5,146,11
104,Virgin Islands,18.700000000000003,5.5,0,11
105,Virginia,32498.4,29505.300000000003,0,11
106,Washington,21487.4,17892.600000000002,1616,11
107,West Virginia,8606.400000000001,12247.400000000001,930,11
108,Wisconsin,19338.0,21594.100000000002,68,11
109,Wyoming,2306.7000000000003,2960.1000000000004,250,11
110,Alabama,8532.7,9751.5,858,10
111,Alaska,4296.6,4343.900000000001,548,10
112,Arizona,13645.500000000002,10320.2,1362,10
113,Arkansas,6167.700000000001,9058.5,746,10
114,California,50363.50000000001,59766.3,0,10
115,Colorado,22377.300000000003,18658.2,2658,10
116,Connecticut,7011.400000000001,2967.8,0,10
117,Delaware,2277.0,2290.2000000000003,214,10
118,District of Columbia,64.9,2.2,0,10
119,Florida,55003.3,29711.000000000004,4604,10
120,Georgia,15178.900000000001,13488.2,1328,10
121,Guam,139.70000000000002,79.2,8,10
122,Hawaii,0.0,0.0,0,10
123,Idaho,4304.3,6365.700000000001,416,10
124,Illinois,37384.600000000006,16212.900000000001,2180,10
125,Indiana,23163.800000000003,18542.7,1658,10
126,Iowa,243.10000000000002,3912.7000000000003,22,10
127,Kansas,7179.700000000001,7452.500000000001,836,10
128,Kentucky,11122.1,11033.0,1038,10
129,Louisiana,13051.500000000002,15040.300000000001,1358,10
130,Maine,4752.0,7618.6,870,10
131,Mariana Islands,0.0,1.1,0,10
132,Maryland,4708.0,7464.6,64,10
133,Massachusetts,7056.500000000001,4048.0000000000005,396,10
134,Michigan,13948.000000000002,14892.900000000001,574,10
135,Minnesota,12533.400000000001,20408.300000000003,1022,10
136,Mississippi,8320.400000000001,9155.300000000001,812,10
137,Missouri,24193.4,23010.9,2392,10
138,Montana,3338.5000000000005,7357.900000000001,542,10
139,Nebraska,158.4,3098.7000000000003,16,10
140,Nevada,6175.400000000001,3818.1000000000004,756,10
141,New Hampshire,6564.8,5139.200000000001,8,10
142,New Jersey,5930.1,5023.700000000001,0,10
143,New Mexico,5993.900000000001,5308.6,564,10
144,New York,11902.000000000002,23203.4,438,10
145,North Carolina,1488.3000000000002,17578.0,434,10
146,North Dakota,1841.4,4896.1,226,10
147,Ohio,33652.3,24190.100000000002,3042,10
148,Oklahoma,12716.000000000002,12457.500000000002,1704,10
149,Oregon,16223.900000000001,14753.2,0,10
150,Pennsylvania,62519.600000000006,17845.300000000003,0,10
151,Puerto Rico,1281.5,213.4,50,10
152,Rhode Island,1278.2,1045.0,428,10
153,South Carolina,10197.0,8576.7,792,10
154,South Dakota,3439.7000000000003,7544.900000000001,484,10
155,Tennessee,25896.2,20365.4,148,10
