,state,handgun,long_gun,multiple,month
0,Alabama,52365.50000000001,37081.0,3504,12
1,Alaska,5791.500000000001,5101.8,428,12
2,Arizona,28118.2,16197.500000000002,1990,12
3,Arkansas,15158.000000000002,16765.100000000002,1042,12
4,California,81838.90000000001,53638.200000000004,0,12
5,Colorado,38118.3,25168.000000000004,3300,12
6,Connecticut,19610.800000000003,6970.700000000001,0,12
7,Delaware,3976.5000000000005,3601.4,274,12
8,District of Columbia,83.60000000000001,3.3000000000000003,0,12
9,Florida,95634.00000000001,50345.9,6010,12
10,Georgia,38471.4,27691.4,2436,12
11,Guam,159.5,66.0,8,12
12,Hawaii,0.0,0.0,0,12
13,Idaho,7725.3,8594.300000000001,552,12
14,Illinois,40912.3,22950.4,2596,12
15,Indiana,48565.00000000001,28715.500000000004,2606,12
16,Iowa,479.6,6219.400000000001,16,12
17,Kansas,13556.400000000001,13339.7,1140,12
18,Kentucky,28125.9,21994.5,1792,12
19,Louisiana,30555.800000000003,27666.100000000002,2256,12
20,Maine,8242.300000000001,5951.000000000001,506,12
21,Mariana Islands,0.0,1.1,0,12
22,Maryland,5225.0,11265.1,34,12
23,Massachusetts,10337.800000000001,5238.200000000001,574,12
24,Michigan,28135.800000000003,20708.600000000002,702,12
25,Minnesota,17950.9,17040.100000000002,998,12
26,Mississippi,22000.0,20798.800000000003,1504,12
27,Missouri,47630.00000000001,33100.100000000006,3298,12
28,Montana,6492.200000000001,7975.000000000001,472,12
29,Nebraska,310.20000000000005,5281.1,14,12
30,Nevada,10461.0,5596.8,924,12
31,New Hampshire,10490.7,5724.400000000001,10,12
32,New Jersey,4734.400000000001,7184.1,0,12
33,New Mexico,9929.7,8418.300000000001,816,12
34,New York,16696.9,30564.600000000002,502,12
35,North Carolina,2789.6000000000004,34361.8,582,12
36,North Dakota,3361.6000000000004,4633.200000000001,296,12
37,Ohio,66308.0,42081.600000000006,4186,12
38,Oklahoma,31226.800000000003,23194.600000000002,2738,12
