,state,handgun,long_gun,multiple,year,month
113,Arkansas,4343.0,3804.0,254,2017,7
114,California,37027.0,21721.0,0,2017,7
115,Colorado,16063.0,11065.0,1020,2017,7
116,Connecticut,5450.0,1771.0,0,2017,7
117,Delaware,1417.0,1000.0,60,2017,7
118,District of Columbia,44.0,5.0,0,2017,7
119,Florida,47430.0,18941.0,1844,2017,7
120,Georgia,10685.0,6166.0,400,2017,7
121,Guam,71.0,45.0,14,2017,7
122,Hawaii,0.0,0.0,0,2017,7
123,Idaho,2887.0,3276.0,149,2017,7
124,Illinois,18417.0,9895.0,765,2017,7
125,Indiana,15385.0,9995.0,584,2017,7
126,Iowa,94.0,1649.0,4,2017,7
127,Kansas,4636.0,3914.0,278,2017,7
128,Kentucky,7236.0,5118.0,419,2017,7
129,Louisiana,9420.0,5992.0,575,2017,7
130,Maine,2695.0,2259.0,122,2017,7
131,Mariana Islands,11.0,1.0,1,2017,7
132,Maryland,3710.0,3922.0,18,2017,7
133,Massachusetts,4034.0,2150.0,118,2017,7
134,Michigan,9305.0,7687.0,208,2017,7
135,Minnesota,5181.0,7734.0,245,2017,7
136,Mississippi,5961.0,3980.0,320,2017,7
137,Missouri,16151.0,11098.0,857,2017,7
138,Montana,2307.0,3168.0,156,2017,7
139,Nebraska,97.0,1204.0,0,2017,7
140,Nevada,3647.0,1962.0,223,2017,7
141,New Hampshire,4228.0,2427.0,4,2017,7
142,New Jersey,4351.0,2519.0,0,2017,7
143,New Mexico,4834.0,3254.0,228,2017,7
144,New York,9212.0,11301.0,170,2017,7
145,North Carolina,1059.0,9316.0,180,2017,7
146,North Dakota,1286.0,2030.0,62,2017,7
147,Ohio,20990.0,14131.0,959,2017,7
148,Oklahoma,9377.0,6698.0,668,2017,7
149,Oregon,11160.0,7877.0,1,2017,7
150,Pennsylvania,37329.0,11694.0,0,2017,7
151,Puerto Rico,1115.0,187.0,22,2017,7
152,Rhode Island,836.0,593.0,129,2017,7
153,South Carolina,7458.0,4622.0,327,2017,7
154,South Dakota,1926.0,2355.0,99,2017,7
155,Tennessee,20279.0,11425.0,0,2017,7
156,Texas,36913.0,27245.0,2193,2017,7
157,Utah,2562.0,2546.0,0,2017,7
158,Vermont,1127.0,1012.0,47,2017,7
159,Virgin Islands,39.0,6.0,2,2017,7
160,Virginia,20688.0,13381.0,0,2017,7
161,Washington,12872.0,8636.0,565,2017,7
162,West Virginia,4860.0,4535.0,328,2017,7
163,Wisconsin,11537.0,9946.0,44,2017,7
164,Wyoming,1231.0,1395.0,77,2017,7
165,Alabama,8275.0,4782.0,334,2017,6
166,Alaska,2909.0,2254.0,190,2017,6
167,Arizona,11507.0,6726.0,606,2017,6
168,Arkansas,5634.0,4070.0,292,2017,6
169,California,42726.0,23807.0,0,2017,6
170,Colorado,17781.0,11298.0,1038,2017,6
171,Connecticut,6203.0,1765.0,0,2017,6
172,Delaware,1724.0,1082.0,66,2017,6
173,District of Columbia,52.0,5.0,0,2017,6
174,Florida,52114.0,19380.0,2012,2017,6
175,Georgia,13617.0,6474.0,497,2017,6
176,Guam,94.0,42.0,10,2017,6
177,Hawaii,0.0,0.0,0,2017,6
178,Idaho,3645.0,3698.0,184,2017,6
179,Illinois,21394.0,9491.0,790,2017,6
180,Indiana,18351.0,9706.0,528,2017,6
181,Iowa,98.0,1641.0,3,2017,6
182,Kansas,5625.0,3788.0,280,2017,6
183,Kentucky,8765.0,5223.0,469,2017,6
184,Louisiana,11706.0,6324.0,540,2017,6
185,Maine,3064.0,2188.0,155,2017,6
186,Mariana Islands,9.0,2.0,1,2017,6
187,Maryland,3968.0,3963.0,19,2017,6
188,Massachusetts,5612.0,2287.0,149,2017,6
189,Michigan,11170.0,7578.0,200,2017,6
190,Minnesota,6258.0,7505.0,286,2017,6
191,Mississippi,7987.0,4029.0,382,2017,6
192,Missouri,19459.0,11470.0,935,2017,6
193,Montana,3026.0,3727.0,212,2017,6
194,Nebraska,99.0,1261.0,2,2017,6
195,Nevada,4449.0,2337.0,219,2017,6
196,New Hampshire,4836.0,2412.0,2,2017,6
197,New Jersey,5022.0,2586.0,0,2017,6
198,New Mexico,5152.0,3486.0,261,2017,6
199,New York,10784.0,11309.0,196,2017,6
200,North Carolina,1581.0,9570.0,228,2017,6
201,North Dakota,1426.0,1942.0,59,2017,6
202,Ohio,23703.0,13536.0,973,2017,6
203,Oklahoma,11872.0,7459.0,778,2017,6
204,Oregon,13632.0,9218.0,1,2017,6
205,Pennsylvania,41408.0,11117.0,0,2017,6
206,Puerto Rico,1339.0,211.0,35,2017,6
207,Rhode Island,1053.0,592.0,151,2017,6
208,South Carolina,11431.0,4533.0,445,2017,6
209,South Dakota,2215.0,2458.0,142,2017,6
210,Tennessee,23369.0,11558.0,0,2017,6
211,Texas,48895.0,29119.0,2307,2017,6
212,Utah,3307.0,2989.0,0,2017,6
213,Vermont,1296.0,973.0,41,2017,6
214,Virgin Islands,25.0,2.0,0,2017,6
215,Virginia,22416.0,12706.0,0,2017,6
216,Washington,16674.0,9805.0,604,2017,6
217,West Virginia,5409.0,4165.0,328,2017,6
218,Wisconsin,13463.0,9959.0,41,2017,6
219,Wyoming,1520.0,1544.0,85,2017,6
220,Alabama,7198.0,4559.0,309,2017,5
221,Alaska,2851.0,2459.0,170,2017,5
222,Arizona,12002.0,6555.0,621,2017,5
223,Arkansas,5181.0,3981.0,275,2017,5
224,California,42442.0,24495.0,0,2017,5
225,Colorado,17085.0,11165.0,988,2017,5
226,Connecticut,5951.0,1862.0,0,2017,5
227,Delaware,1752.0,1087.0,72,2017,5
228,District of Columbia,66.0,4.0,2,2017,5
229,Florida,49700.0,18476.0,1907,2017,5
230,Georgia,12163.0,6211.0,442,2017,5
231,Guam,93.0,49.0,8,2017,5
232,Hawaii,0.0,0.0,0,2017,5
233,Idaho,3267.0,3699.0,181,2017,5
234,Illinois,22244.0,9252.0,774,2017,5
235,Indiana,18110.0,9483.0,618,2017,5
236,Iowa,196.0,1759.0,3,2017,5
237,Kansas,5022.0,3818.0,295,2017,5
238,Kentucky,8690.0,5378.0,433,2017,5
239,Louisiana,10362.0,6302.0,544,2017,5
240,Maine,3236.0,2540.0,184,2017,5
241,Mariana Islands,10.0,1.0,0,2017,5
242,Maryland,4539.0,4244.0,30,2017,5
243,Massachusetts,5100.0,2526.0,164,2017,5
244,Michigan,10483.0,7055.0,191,2017,5
245,Minnesota,7916.0,7597.0,327,2017,5
246,Mississippi,7002.0,3938.0,326,2017,5
247,Missouri,18290.0,11468.0,857,2017,5
248,Montana,2660.0,3762.0,199,2017,5
249,Nebraska,109.0,1256.0,5,2017,5
250,Nevada,4630.0,2288.0,234,2017,5
251,New Hampshire,4614.0,2472.0,5,2017,5
252,New Jersey,5569.0,2931.0,0,2017,5
253,New Mexico,5204.0,3381.0,263,2017,5
254,New York,11633.0,12857.0,183,2017,5
255,North Carolina,1363.0,9129.0,206,2017,5
256,North Dakota,1413.0,1866.0,57,2017,5
257,Ohio,25230.0,12924.0,1059,2017,5
258,Oklahoma,10599.0,7270.0,728,2017,5
259,Oregon,13261.0,9115.0,3,2017,5
260,Pennsylvania,42646.0,11123.0,0,2017,5
261,Puerto Rico,1279.0,217.0,31,2017,5
262,Rhode Island,1048.0,541.0,182,2017,5
263,South Carolina,9258.0,4234.0,617,2017,5
264,South Dakota,2369.0,2578.0,145,2017,5
265,Tennessee,22198.0,10745.0,0,2017,5
266,Texas,42366.0,27991.0,2226,2017,5
267,Utah,3204.0,3144.0,0,2017,5
268,Vermont,1306.0,1132.0,49,2017,5
269,Virgin Islands,19.0,1.0,2,2017,5
270,Virginia,21697.0,12181.0,0,2017,5
271,Washington,15915.0,9682.0,584,2017,5
272,West Virginia,5818.0,4329.0,321,2017,5
273,Wisconsin,14070.0,9467.0,58,2017,5
274,Wyoming,1589.0,1578.0,91,2017,5
275,Alabama,7131.0,4724.0,261,2017,4
276,Alaska,2997.0,2840.0,233,2017,4
277,Arizona,13302.0,7485.0,658,2017,4
278,Arkansas,5670.0,4226.0,287,2017,4
279,California,45182.0,24898.0,0,2017,4
280,Colorado,19453.0,12407.0,1068,2017,4
281,Connecticut,6557.0,2063.0,0,2017,4
282,Delaware,2017.0,1249.0,89,2017,4
283,District of Columbia,68.0,1.0,0,2017,4
284,Florida,52889.0,19489.0,1840,2017,4
285,Georgia,13202.0,6567.0,421,2017,4
286,Guam,93.0,39.0,6,2017,4
287,Hawaii,0.0,0.0,0,2017,4
288,Idaho,3874.0,4039.0,160,2017,4
289,Illinois,25414.0,10416.0,845,2017,4
290,Indiana,21454.0,11390.0,677,2017,4
291,Iowa,252.0,2348.0,3,2017,4
292,Kansas,5901.0,4435.0,308,2017,4
293,Kentucky,9858.0,6519.0,433,2017,4
294,Louisiana,10551.0,6161.0,492,2017,4
295,Maine,3816.0,3073.0,183,2017,4
296,Mariana Islands,11.0,2.0,0,2017,4
297,Maryland,4435.0,5128.0,24,2017,4
298,Massachusetts,6540.0,2717.0,194,2017,4
299,Michigan,12478.0,9139.0,246,2017,4
300,Minnesota,13074.0,12144.0,540,2017,4
301,Mississippi,7952.0,4359.0,294,2017,4
302,Missouri,20328.0,14124.0,998,2017,4
303,Montana,3014.0,4246.0,219,2017,4
304,Nebraska,126.0,1648.0,4,2017,4
305,Nevada,4890.0,2747.0,287,2017,4
306,New Hampshire,5658.0,3121.0,9,2017,4
307,New Jersey,5722.0,3201.0,0,2017,4
308,New Mexico,5665.0,4023.0,267,2017,4
309,New York,11913.0,14591.0,204,2017,4
310,North Carolina,1471.0,9870.0,185,2017,4
311,North Dakota,2209.0,2492.0,99,2017,4
312,Ohio,31417.0,16030.0,1209,2017,4
313,Oklahoma,13317.0,9111.0,862,2017,4
314,Oregon,15122.0,10896.0,2,2017,4
315,Pennsylvania,48255.0,11877.0,0,2017,4
316,Puerto Rico,1105.0,204.0,26,2017,4
317,Rhode Island,1146.0,673.0,200,2017,4
318,South Carolina,9548.0,4420.0,1159,2017,4
319,South Dakota,2896.0,3008.0,148,2017,4
320,Tennessee,23031.0,11521.0,0,2017,4
321,Texas,44994.0,28015.0,2442,2017,4
322,Utah,3917.0,3302.0,0,2017,4
323,Vermont,1855.0,1720.0,105,2017,4
324,Virgin Islands,22.0,7.0,0,2017,4
325,Virginia,29480.0,16844.0,0,2017,4
326,Washington,17120.0,10659.0,630,2017,4
327,West Virginia,6723.0,5263.0,365,2017,4
328,Wisconsin,16700.0,13302.0,46,2017,4
329,Wyoming,1633.0,1711.0,85,2017,4
330,Alabama,10603.0,6951.0,387,2017,3
331,Alaska,3067.0,2640.0,184,2017,3
332,Arizona,14897.0,9036.0,738,2017,3
333,Arkansas,7907.0,6010.0,454,2017,3
334,California,48732.0,27839.0,0,2017,3
335,Colorado,21249.0,14378.0,1181,2017,3
336,Connecticut,7476.0,2551.0,0,2017,3
337,Delaware,2557.0,1677.0,110,2017,3
338,District of Columbia,83.0,3.0,1,2017,3
339,Florida,60787.0,23982.0,2176,2017,3
340,Georgia,19256.0,9518.0,676,2017,3
341,Guam,74.0,41.0,13,2017,3
342,Hawaii,0.0,0.0,0,2017,3
343,Idaho,4500.0,4944.0,243,2017,3
344,Illinois,30518.0,14411.0,1207,2017,3
345,Indiana,28593.0,14363.0,793,2017,3
346,Iowa,316.0,3137.0,4,2017,3
347,Kansas,7712.0,5522.0,360,2017,3
348,Kentucky,13769.0,8992.0,645,2017,3
349,Louisiana,13973.0,8092.0,762,2017,3
350,Maine,4558.0,3286.0,197,2017,3
351,Mariana Islands,9.0,1.0,0,2017,3
352,Maryland,5398.0,5737.0,21,2017,3
353,Massachusetts,7274.0,3421.0,185,2017,3
354,Michigan,16031.0,11103.0,273,2017,3
355,Minnesota,14029.0,12988.0,518,2017,3
356,Mississippi,11586.0,6508.0,465,2017,3
357,Missouri,27625.0,17931.0,1286,2017,3
358,Montana,3615.0,4584.0,281,2017,3
359,Nebraska,176.0,1984.0,7,2017,3
360,Nevada,6038.0,3219.0,301,2017,3
361,New Hampshire,7278.0,3462.0,3,2017,3
362,New Jersey,6871.0,3864.0,0,2017,3
363,New Mexico,6752.0,4571.0,374,2017,3
364,New York,12788.0,15591.0,204,2017,3
365,North Carolina,1669.0,13837.0,261,2017,3
366,North Dakota,2013.0,2371.0,70,2017,3
367,Ohio,37474.0,19925.0,1481,2017,3
368,Oklahoma,14157.0,10065.0,977,2017,3
369,Oregon,17177.0,13521.0,0,2017,3
370,Pennsylvania,61207.0,15836.0,0,2017,3
371,Puerto Rico,1267.0,206.0,28,2017,3
372,Rhode Island,1424.0,791.0,223,2017,3
373,South Carolina,13284.0,6749.0,691,2017,3
374,South Dakota,3361.0,3686.0,238,2017,3
375,Tennessee,29369.0,15922.0,0,2017,3
376,Texas,55983.0,34308.0,2846,2017,3
377,Utah,4401.0,4010.0,0,2017,3
378,Vermont,2007.0,1793.0,109,2017,3
379,Virgin Islands,27.0,5.0,0,2017,3
380,Virginia,29873.0,17754.0,0,2017,3
381,Washington,20308.0,12740.0,735,2017,3
382,West Virginia,8887.0,6616.0,523,2017,3
383,Wisconsin,19864.0,16763.0,41,2017,3
384,Wyoming,2017.0,2038.0,124,2017,3
385,Alabama,10739.0,7028.0,505,2017,2
386,Alaska,2857.0,2102.0,180,2017,2
387,Arizona,15642.0,8881.0,821,2017,2
388,Arkansas,7974.0,5938.0,590,2017,2
389,California,44363.0,24987.0,0,2017,2
390,Colorado,20958.0,13477.0,1240,2017,2
391,Connecticut,6445.0,2187.0,0,2017,2
392,Delaware,2342.0,1663.0,102,2017,2
393,District of Columbia,65.0,1.0,2,2017,2
394,Florida,59201.0,23479.0,2187,2017,2
395,Georgia,19007.0,9334.0,863,2017,2
396,Guam,74.0,43.0,3,2017,2
397,Hawaii,0.0,0.0,0,2017,2
398,Idaho,4051.0,3904.0,227,2017,2
399,Illinois,27418.0,12635.0,1002,2017,2
400,Indiana,27343.0,13221.0,814,2017,2
401,Iowa,318.0,2403.0,12,2017,2
402,Kansas,8082.0,5501.0,430,2017,2
403,Kentucky,14975.0,8636.0,1044,2017,2
404,Louisiana,12698.0,7601.0,668,2017,2
405,Maine,3758.0,2544.0,169,2017,2
406,Mariana Islands,0.0,0.0,0,2017,2
407,Maryland,4925.0,5534.0,45,2017,2
408,Massachusetts,6280.0,2901.0,156,2017,2
409,Michigan,15564.0,9804.0,263,2017,2
410,Minnesota,12047.0,9641.0,375,2017,2
411,Mississippi,11285.0,6045.0,580,2017,2
412,Missouri,26726.0,16012.0,1477,2017,2
413,Montana,2912.0,3429.0,309,2017,2
414,Nebraska,171.0,1937.0,6,2017,2
415,Nevada,5644.0,2732.0,308,2017,2
416,New Hampshire,6092.0,3098.0,2,2017,2
417,New Jersey,5904.0,3481.0,0,2017,2
418,New Mexico,7032.0,4632.0,509,2017,2
419,New York,11465.0,14080.0,179,2017,2
420,North Carolina,1410.0,13488.0,415,2017,2
421,North Dakota,1807.0,2213.0,77,2017,2
422,Ohio,36244.0,18068.0,1583,2017,2
423,Oklahoma,14051.0,9769.0,1211,2017,2
424,Oregon,16425.0,11726.0,0,2017,2
425,Pennsylvania,54107.0,12734.0,0,2017,2
426,Puerto Rico,1000.0,197.0,24,2017,2
427,Rhode Island,1278.0,731.0,209,2017,2
428,South Carolina,12510.0,6324.0,2679,2017,2
429,South Dakota,3569.0,3533.0,170,2017,2
430,Tennessee,31982.0,16425.0,0,2017,2
431,Texas,56786.0,33238.0,3523,2017,2
432,Utah,4371.0,4252.0,0,2017,2
433,Vermont,1885.0,1538.0,59,2017,2
434,Virgin Islands,26.0,8.0,0,2017,2
435,Virginia,28434.0,16587.0,0,2017,2
436,Washington,18785.0,11860.0,842,2017,2
437,West Virginia,8917.0,6203.0,668,2017,2
438,Wisconsin,18147.0,12247.0,57,2017,2
439,Wyoming,1839.0,1646.0,113,2017,2
440,Alabama,6770.0,6572.0,278,2017,1
441,Alaska,2028.0,1631.0,127,2017,1
442,Arizona,12108.0,7353.0,550,2017,1
443,Arkansas,5174.0,5278.0,313,2017,1
444,California,41516.0,22686.0,0,2017,1
445,Colorado,17189.0,11864.0,982,2017,1
446,Connecticut,6133.0,2115.0,0,2017,1
447,Delaware,1815.0,1466.0,57,2017,1
448,District of Columbia,69.0,6.0,0,2017,1
449,Florida,51599.0,21867.0,1816,2017,1
450,Georgia,12519.0,7945.0,376,2017,1
451,Guam,118.0,66.0,9,2017,1
452,Hawaii,0.0,0.0,0,2017,1
453,Idaho,2617.0,3049.0,122,2017,1
454,Illinois,24594.0,11185.0,767,2017,1
455,Indiana,21284.0,11456.0,607,2017,1
456,Iowa,180.0,2015.0,4,2017,1
457,Kansas,5798.0,4969.0,262,2017,1
458,Kentucky,9743.0,6700.0,397,2017,1
459,Louisiana,10709.0,8701.0,472,2017,1
460,Maine,3094.0,2447.0,142,2017,1
461,Mariana Islands,0.0,2.0,0,2017,1
462,Maryland,4456.0,5254.0,24,2017,1
463,Massachusetts,6069.0,2871.0,154,2017,1
464,Michigan,10181.0,7490.0,154,2017,1
465,Minnesota,9389.0,7266.0,319,2017,1
466,Mississippi,6805.0,5592.0,248,2017,1
467,Missouri,20123.0,13512.0,857,2017,1
468,Montana,2015.0,2748.0,139,2017,1
469,Nebraska,141.0,1673.0,3,2017,1
470,Nevada,4235.0,2361.0,226,2017,1
471,New Hampshire,5332.0,2836.0,6,2017,1
472,New Jersey,5719.0,3355.0,0,2017,1
473,New Mexico,4781.0,3641.0,233,2017,1
474,New York,11059.0,13412.0,171,2017,1
475,North Carolina,1073.0,11218.0,188,2017,1
476,North Dakota,1370.0,1892.0,68,2017,1
477,Ohio,27124.0,15070.0,995,2017,1
478,Oklahoma,10811.0,8883.0,705,2017,1
479,Oregon,12071.0,8985.0,0,2017,1
480,Pennsylvania,44199.0,10689.0,0,2017,1
481,Puerto Rico,1072.0,181.0,20,2017,1
482,Rhode Island,1196.0,687.0,160,2017,1
483,South Carolina,9374.0,5678.0,525,2017,1
484,South Dakota,2371.0,2803.0,133,2017,1
485,Tennessee,23009.0,13583.0,0,2017,1
486,Texas,42697.0,31314.0,2176,2017,1
487,Utah,3031.0,2961.0,0,2017,1
488,Vermont,1338.0,1214.0,60,2017,1
489,Virgin Islands,17.0,9.0,1,2017,1
490,Virginia,21375.0,14319.0,0,2017,1
491,Washington,15595.0,9913.0,525,2017,1
492,West Virginia,5837.0,4995.0,344,2017,1
493,Wisconsin,12346.0,8888.0,29,2017,1
494,Wyoming,1329.0,1433.0,73,2017,1
495,Alabama,13733.0,17519.0,533,2016,12
496,Alaska,4087.0,3698.0,191,2016,12
497,Arizona,18024.0,13785.0,703,2016,12
498,Arkansas,9192.0,13433.0,385,2016,12
499,California,63649.0,93224.0,0,2016,12
500,Colorado,25905.0,21134.0,1426,2016,12
501,Connecticut,8003.0,3153.0,0,2016,12
502,Delaware,2689.0,2981.0,117,2016,12
503,District of Columbia,60.0,5.0,2,2016,12
504,Florida,69842.0,39880.0,2595,2016,12
505,Georgia,23875.0,22613.0,844,2016,12
506,Guam,105.0,51.0,8,2016,12
507,Hawaii,0.0,0.0,0,2016,12
508,Idaho,5471.0,7074.0,210,2016,12
509,Illinois,29658.0,17164.0,1031,2016,12
510,Indiana,30248.0,21688.0,911,2016,12
511,Iowa,391.0,4822.0,3,2016,12
512,Kansas,8494.0,10473.0,415,2016,12
513,Kentucky,17311.0,16766.0,673,2016,12
514,Louisiana,18412.0,22848.0,901,2016,12
515,Maine,4641.0,4713.0,187,2016,12
516,Mariana Islands,0.0,0.0,0,2016,12
517,Maryland,4925.0,8870.0,33,2016,12
518,Massachusetts,7050.0,3884.0,197,2016,12
519,Michigan,14879.0,14328.0,245,2016,12
520,Minnesota,12431.0,12851.0,426,2016,12
521,Mississippi,13168.0,17231.0,529,2016,12
522,Missouri,29770.0,27013.0,1234,2016,12
523,Montana,3822.0,5832.0,220,2016,12
524,Nebraska,268.0,3697.0,6,2016,12
525,Nevada,6783.0,4696.0,411,2016,12
526,New Hampshire,6625.0,4225.0,1,2016,12
527,New Jersey,5394.0,4979.0,0,2016,12
528,New Mexico,7484.0,7149.0,331,2016,12
529,New York,12074.0,22585.0,248,2016,12
530,North Carolina,2163.0,28023.0,285,2016,12
531,North Dakota,1799.0,2927.0,81,2016,12
532,Ohio,40996.0,29641.0,1531,2016,12
533,Oklahoma,17990.0,19418.0,1060,2016,12
534,Oregon,18931.0,16010.0,0,2016,12
535,Pennsylvania,64220.0,18688.0,0,2016,12
536,Puerto Rico,1334.0,256.0,28,2016,12
537,Rhode Island,1283.0,953.0,210,2016,12
538,South Carolina,15600.0,14782.0,425,2016,12
539,South Dakota,3525.0,5131.0,220,2016,12
540,Tennessee,36917.0,30997.0,0,2016,12
541,Texas,69163.0,69272.0,3208,2016,12
542,Utah,6428.0,9257.0,0,2016,12
543,Vermont,1802.0,1998.0,74,2016,12
544,Virgin Islands,15.0,5.0,0,2016,12
545,Virginia,32572.0,27619.0,0,2016,12
546,Washington,21835.0,16484.0,706,2016,12
547,West Virginia,10869.0,11628.0,543,2016,12
548,Wisconsin,16521.0,15036.0,37,2016,12
549,Wyoming,2540.0,2984.0,119,2016,12
550,Alabama,10214.0,13470.0,599,2016,11
551,Alaska,3396.0,4019.0,249,2016,11
552,Arizona,14850.0,11994.0,829,2016,11
553,Arkansas,7226.0,11866.0,449,2016,11
554,California,56932.0,82554.0,0,2016,11
555,Colorado,24052.0,19794.0,1553,2016,11
556,Connecticut,7063.0,3258.0,0,2016,11
557,Delaware,2490.0,2751.0,106,2016,11
558,District of Columbia,49.0,5.0,1,2016,11
559,Florida,62351.0,35718.0,2701,2016,11
560,Georgia,18011.0,16759.0,803,2016,11
561,Guam,104.0,54.0,4,2016,11
562,Hawaii,0.0,0.0,0,2016,11
563,Idaho,4711.0,6175.0,232,2016,11
564,Illinois,28463.0,19005.0,1206,2016,11
565,Indiana,25246.0,23336.0,912,2016,11
566,Iowa,399.0,5112.0,13,2016,11
567,Kansas,8136.0,9854.0,493,2016,11
568,Kentucky,12847.0,14844.0,640,2016,11
569,Louisiana,14674.0,18349.0,850,2016,11
570,Maine,4135.0,5097.0,196,2016,11
571,Mariana Islands,0.0,4.0,0,2016,11
572,Maryland,5356.0,9509.0,38,2016,11
